order_id,order_date,product,quantity,price,revenue,region,channel
1001,2024-01-01,Prod_12,3,89.57,268.71,East,Online
1002,2024-01-01,Prod_7,3,78.31,234.93,West,Online
1003,2024-01-01,Prod_15,4,45.23,180.92,West,Store
1004,2024-01-01,Prod_7,2,48.12,96.24,North,Online
1005,2024-01-01,Prod_13,4,83.62,334.48,East,Store
1006,2024-01-01,Prod_1,3,99.22,297.66,West,Store
1007,2024-01-01,Prod_6,4,50.34,201.36,North,Online
1008,2024-01-01,Prod_3,3,78.75,236.25,West,Online
1009,2024-01-01,Prod_11,4,56.61,226.44,North,Online
1010,2024-01-01,Prod_6,3,27.56,82.68,East,Online
1011,2024-01-01,Prod_8,1,77.53,77.53,South,Store
1012,2024-01-01,Prod_13,2,41.81,83.62,North,Store
1013,2024-01-01,Prod_13,3,23.99,71.97,North,Store
1014,2024-01-01,Prod_3,4,74.99,299.96,West,Online
1015,2024-01-01,Prod_10,3,20.28,60.84,North,Store
1016,2024-01-01,Prod_9,3,65.7,197.1,West,Store
1017,2024-01-01,Prod_8,3,64.12,192.36,South,Online
1018,2024-01-01,Prod_9,2,32.39,64.78,South,Store
1019,2024-01-01,Prod_7,1,11.54,11.54,North,Online
1020,2024-01-01,Prod_4,2,65.92,131.84,West,Store
1021,2024-01-01,Prod_10,2,84.33,168.66,North,Online
1022,2024-01-01,Prod_7,1,74.62,74.62,South,Online
1023,2024-01-01,Prod_2,4,25.47,101.88,East,Online
1024,2024-01-02,Prod_3,2,36.64,73.28,East,Online
1025,2024-01-02,Prod_15,1,21.21,21.21,West,Store
1026,2024-01-02,Prod_8,3,36.26,108.78,West,Store
1027,2024-01-02,Prod_4,3,55.69,167.07,North,Online
1028,2024-01-02,Prod_7,4,49.3,197.2,North,Online
1029,2024-01-02,Prod_13,3,21.79,65.37,West,Store
1030,2024-01-02,Prod_8,3,52.05,156.15,East,Online
1031,2024-01-02,Prod_2,3,19.02,57.06,South,Online
1032,2024-01-02,Prod_3,2,39.34,78.68,North,Online
1033,2024-01-02,Prod_3,3,24.21,72.63,West,Online
1034,2024-01-02,Prod_7,2,62.14,124.28,North,Store
1035,2024-01-02,Prod_7,2,80.36,160.72,North,Online
1036,2024-01-02,Prod_11,2,101.09,202.18,East,Online
1037,2024-01-02,Prod_13,2,36.5,73.0,South,Online
1038,2024-01-02,Prod_5,1,86.5,86.5,West,Online
1039,2024-01-02,Prod_5,3,18.31,54.93,East,Online
1040,2024-01-02,Prod_4,3,82.06,246.18,West,Online
1041,2024-01-02,Prod_10,4,28.87,115.48,North,Online
1042,2024-01-02,Prod_9,2,90.83,181.66,West,Online
1043,2024-01-02,Prod_4,4,40.64,162.56,South,Online
1044,2024-01-02,Prod_15,4,25.64,102.56,North,Online
1045,2024-01-02,Prod_15,4,94.71,378.84,East,Store
1046,2024-01-02,Prod_4,4,62.29,249.16,South,Store
1047,2024-01-02,Prod_6,3,41.5,124.5,North,Store
1048,2024-01-02,Prod_6,2,95.0,190.0,North,Online
1049,2024-01-02,Prod_2,4,25.56,102.24,North,Online
1050,2024-01-02,Prod_11,4,30.66,122.64,South,Store
1051,2024-01-02,Prod_5,4,55.57,222.28,North,Online
1052,2024-01-02,Prod_3,1,20.52,20.52,East,Online
1053,2024-01-02,Prod_5,3,73.95,221.85,East,Online
1054,2024-01-02,Prod_13,4,72.96,291.84,East,Online
1055,2024-01-02,Prod_7,1,94.12,94.12,South,Online
1056,2024-01-02,Prod_2,2,73.97,147.94,West,Online
1057,2024-01-02,Prod_15,4,12.36,49.44,East,Store
1058,2024-01-02,Prod_13,1,18.33,18.33,South,Store
1059,2024-01-02,Prod_3,3,96.64,289.92,West,Online
1060,2024-01-02,Prod_10,4,8.69,34.76,North,Store
1061,2024-01-02,Prod_4,4,35.1,140.4,South,Store
1062,2024-01-02,Prod_14,4,67.3,269.2,South,Online
1063,2024-01-02,Prod_14,2,71.93,143.86,West,Online
1064,2024-01-03,Prod_4,2,83.87,167.74,West,Online
1065,2024-01-03,Prod_4,4,69.47,277.88,North,Store
1066,2024-01-03,Prod_1,2,20.67,41.34,West,Online
1067,2024-01-03,Prod_5,1,22.59,22.59,North,Online
1068,2024-01-03,Prod_5,3,24.59,73.77,North,Online
1069,2024-01-03,Prod_1,3,44.39,133.17,South,Online
1070,2024-01-03,Prod_11,3,92.86,278.58,North,Online
1071,2024-01-03,Prod_14,4,33.69,134.76,East,Online
1072,2024-01-03,Prod_4,2,48.49,96.98,South,Online
1073,2024-01-03,Prod_1,1,11.94,11.94,West,Online
1074,2024-01-03,Prod_13,4,90.75,363.0,West,Store
1075,2024-01-03,Prod_13,3,66.04,198.12,West,Online
1076,2024-01-03,Prod_12,4,56.85,227.4,West,Online
1077,2024-01-03,Prod_9,4,72.76,291.04,North,Online
1078,2024-01-03,Prod_6,2,45.6,91.2,North,Online
1079,2024-01-03,Prod_8,3,42.11,126.33,South,Store
1080,2024-01-03,Prod_6,1,96.14,96.14,West,Online
1081,2024-01-03,Prod_5,4,58.87,235.48,West,Store
1082,2024-01-03,Prod_5,1,58.61,58.61,East,Online
1083,2024-01-03,Prod_13,1,24.23,24.23,East,Store
1084,2024-01-03,Prod_12,4,66.37,265.48,North,Store
1085,2024-01-03,Prod_2,3,99.91,299.73,North,Store
1086,2024-01-03,Prod_2,1,67.4,67.4,West,Store
1087,2024-01-03,Prod_13,4,29.07,116.28,East,Online
1088,2024-01-03,Prod_15,3,26.27,78.81,East,Online
1089,2024-01-03,Prod_10,2,56.65,113.3,West,Store
1090,2024-01-03,Prod_7,3,62.96,188.88,West,Online
1091,2024-01-03,Prod_8,4,19.33,77.32,East,Online
1092,2024-01-03,Prod_2,4,74.77,299.08,South,Store
1093,2024-01-03,Prod_12,4,33.7,134.8,South,Online
1094,2024-01-03,Prod_12,2,22.04,44.08,West,Online
1095,2024-01-03,Prod_3,3,77.32,231.96,East,Store
1096,2024-01-03,Prod_6,2,51.54,103.08,South,Store
1097,2024-01-03,Prod_12,1,98.36,98.36,North,Store
1098,2024-01-03,Prod_11,4,23.58,94.32,East,Store
1099,2024-01-03,Prod_10,3,50.16,150.48,West,Online
1100,2024-01-03,Prod_1,4,49.02,196.08,South,Store
1101,2024-01-03,Prod_7,3,16.51,49.53,West,Store
1102,2024-01-03,Prod_12,3,87.51,262.53,North,Store
1103,2024-01-03,Prod_5,1,69.76,69.76,North,Store
1104,2024-01-03,Prod_10,4,29.88,119.52,North,Store
1105,2024-01-04,Prod_13,1,91.51,91.51,East,Online
1106,2024-01-04,Prod_1,1,11.91,11.91,East,Store
1107,2024-01-04,Prod_15,1,90.69,90.69,North,Store
1108,2024-01-04,Prod_15,4,83.35,333.4,East,Store
1109,2024-01-04,Prod_7,1,25.17,25.17,North,Online
1110,2024-01-04,Prod_9,3,71.85,215.55,West,Online
1111,2024-01-04,Prod_13,3,23.34,70.02,North,Store
1112,2024-01-04,Prod_8,4,69.1,276.4,North,Store
1113,2024-01-04,Prod_1,1,90.99,90.99,East,Online
1114,2024-01-04,Prod_6,1,23.44,23.44,West,Online
1115,2024-01-04,Prod_9,4,72.46,289.84,East,Online
1116,2024-01-04,Prod_4,4,41.63,166.52,East,Store
1117,2024-01-04,Prod_4,3,102.36,307.08,North,Online
1118,2024-01-04,Prod_11,2,57.05,114.1,North,Online
1119,2024-01-04,Prod_15,2,38.95,77.9,South,Store
1120,2024-01-04,Prod_7,3,45.12,135.36,South,Online
1121,2024-01-04,Prod_15,3,40.12,120.36,North,Online
1122,2024-01-04,Prod_8,2,32.43,64.86,East,Online
1123,2024-01-04,Prod_9,3,73.56,220.68,East,Online
1124,2024-01-04,Prod_4,4,65.17,260.68,South,Store
1125,2024-01-04,Prod_8,2,59.71,119.42,East,Store
1126,2024-01-05,Prod_14,4,59.43,237.72,West,Online
1127,2024-01-05,Prod_8,3,57.94,173.82,North,Online
1128,2024-01-05,Prod_13,4,10.28,41.12,North,Online
1129,2024-01-05,Prod_13,2,34.82,69.64,East,Online
1130,2024-01-05,Prod_3,2,89.37,178.74,South,Online
